seed,step,top_feature,decoy_ranked_last,decoy_is_top
0,9711,0,True,False
0,10735,2,False,True
0,11759,2,False,True
0,13807,1,True,False
0,14831,1,True,False
1,7181,0,True,False
1,7663,0,False,False
1,8175,2,False,True
1,8687,0,False,False
1,9199,0,False,False
1,9452,0,False,False
1,9711,0,False,False
1,9967,0,True,False
1,10223,0,False,False
1,10479,0,True,False
1,10735,1,True,False
1,10991,0,True,False
1,11247,0,False,False
1,11503,1,True,False
1,11759,1,True,False
1,12015,1,True,False
1,12271,0,True,False
1,12527,1,False,False
1,12783,2,False,True
1,13039,1,True,False
1,13295,2,False,True
1,13551,1,True,False
1,13807,0,True,False
1,14063,1,True,False
1,14319,1,False,False
1,14575,2,False,True
1,14831,1,True,False
1,15087,0,True,False
1,15471,1,True,False
1,15727,1,True,False
1,15983,0,True,False
1,16239,1,True,False
1,16495,1,True,False
1,16751,2,False,True
1,17007,1,False,False
1,17263,2,False,True
1,17519,0,True,False
1,17775,1,True,False
1,18031,2,False,True
1,18287,0,True,False
1,18543,0,True,False
1,18799,1,True,False
1,19055,0,True,False
1,19311,1,True,False
1,19567,1,False,False
1,19823,1,False,False
2,9199,0,True,False
2,12271,0,True,False
2,12783,1,True,False
2,13295,1,True,False
2,13549,1,True,False
2,13807,0,True,False
2,14063,1,True,False
2,14319,1,False,False
2,14575,0,False,False
2,14831,2,False,True
2,15087,0,False,False
2,15343,0,True,False
2,15599,0,True,False
2,15855,0,True,False
2,16111,0,True,False
2,16367,0,True,False
2,16623,2,False,True
2,16879,1,True,False
2,17135,2,False,True
2,17391,1,False,False
2,17647,0,False,False
2,17903,1,False,False
2,18159,2,False,True
2,18415,2,False,True
2,18671,0,True,False
2,18927,2,False,True
2,19183,1,False,False
2,19439,1,False,False
2,19695,1,False,False
2,19951,1,True,False
3,18927,1,True,False
4,9711,1,True,False
4,11247,0,True,False
4,11759,2,False,True
4,12271,0,True,False
4,13295,2,False,True
4,14319,1,True,False
5,9199,1,False,False
5,11247,0,False,False
5,16367,1,True,False
9,12783,1,True,False
9,14831,2,False,True
